Rank,Team,Played,Won,Drawn,Lost,Points
1,Liverpool,11,9,1,1,28
2,Manchester City,11,7,2,2,23
3,Chelsea,11,5,4,2,19
4,Arsenal,11,5,4,2,19
5,Nottingham Forest,11,5,4,2,19
6,Brighton,11,5,4,2,19
7,Fulham,11,5,3,3,18
8,Newcastle,11,5,3,3,18
9,Aston Villa,11,5,3,3,18
10,Tottenham,11,5,1,5,16
11,Brentford,11,5,1,5,16
12,Bournemouth,11,4,3,4,15
13,Manchester United,11,4,3,4,15
14,West Ham,11,3,3,5,12
15,Leicester,11,2,4,5,10
16,Everton,11,2,4,5,10
17,Ipswich,11,1,5,5,8
18,Crystal Palace,11,1,4,6,7
19,Wolves,11,1,3,7,6
20,Southampton,11,1,1,9,4
