Rank,Team,Played,Won,Drawn,Lost,Points
1,Liverpool,13,11,1,1,34
2,Arsenal,13,7,4,2,25
3,Chelsea,13,7,4,2,25
4,Brighton,13,6,5,2,23
5,Manchester City,13,7,2,4,23
6,Nottingham Forest,13,6,4,3,22
7,Tottenham,13,6,2,5,20
8,Brentford,13,6,2,5,20
9,Manchester United,13,5,4,4,19
10,Fulham,13,5,4,4,19
11,Newcastle,13,5,4,4,19
12,Aston Villa,13,5,4,4,19
13,Bournemouth,13,5,3,5,18
14,West Ham,13,4,3,6,15
15,Everton,13,2,5,6,11
16,Leicester,13,2,4,7,10
17,Crystal Palace,13,1,6,6,9
18,Wolves,13,2,3,8,9
19,Ipswich,13,1,6,6,9
20,Southampton,13,1,2,10,5
